Maine, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200401,6.4
200402,18.0
200403,28.7
200404,39.6
200405,51.9
200406,57.5
200407,64.6
200408,64.6
200409,56.2
200410,45.5
200411,33.2
200412,19.1
200501,11.5
200502,19.6
200503,25.0
200504,41.1
200505,47.2
200506,63.2
200507,66.6
200508,65.5
200509,58.5
200510,47.2
200511,35.3
200512,21.3
200601,22.6
200602,19.0
200603,29.0
200604,42.3
200605,53.2
200606,63.3
200607,68.9
200608,61.7
200609,56.1
200610,44.9
200611,38.9
200612,27.8
200701,17.3
200702,11.6
200703,25.8
200704,37.0
200705,51.2
200706,61.1
200707,64.6
200708,63.5
200709,57.2
200710,49.6
200711,31.7
200712,18.0
200801,18.6
200802,18.5
200803,23.1
200804,41.5
200805,50.0
200806,61.2
200807,67.7
200808,63.1
200809,56.2
200810,44.2
200811,35.0
200812,20.2
200901,7.9
200902,18.9
200903,26.2
200904,41.9
200905,51.1
200906,58.7
200907,63.0
200908,66.1
200909,54.9
200910,41.2
200911,38.5
200912,21.9
201001,20.3
201002,24.6
201003,34.6
201004,44.9
201005,54.6
201006,60.8
201007,69.2
201008,65.2
201009,58.3
201010,45.2
201011,34.5
201012,23.4
201101,15.9
201102,16.2
201103,26.8
201104,39.0
201105,51.9
201106,60.2
201107,67.6
201108,64.8
201109,59.0
201110,47.6
201111,38.8
201112,26.0
201201,18.2
201202,21.4
201203,34.3
201204,42.2
201205,53.8
201206,60.2
201207,67.6
201208,67.4
201209,55.9
201210,48.2
201211,32.7
201212,24.4
201301,15.8
201302,20.0
201303,30.3
201304,39.1
201305,52.3
201306,60.8
201307,68.3
201308,63.7
201309,56.7
201310,47.3
201311,32.3
201312,17.0
201401,14.2
201402,15.7
201403,18.1
201404,38.7
201405,51.7
201406,61.6
201407,67.2
201408,64.4
201409,56.4
201410,48.5
201411,31.8
201412,26.0
201501,11.7
201502,5.2
201503,21.6
201504,37.8
201505,55.7
201506,57.5
201507,64.8
201508,67.2
201509,61.8
201510,43.2
201511,37.0
201512,31.2
201601,20.1
201602,21.9
201603,29.2
201604,37.3
201605,52.8
201606,60.5
201607,67.0
201608,66.6
201609,59.1
201610,46.9
201611,37.2
201612,20.5
201701,21.5
201702,20.6
201703,22.2
201704,42.0
201705,50.7
201706,61.0
201707,65.2
201708,63.3
201709,61.1
201710,52.0
201711,32.4
201712,16.4
201801,15.0
201802,22.7
201803,28.9
201804,36.5
201805,53.5
201806,59.0
201807,68.8
201808,68.0
201809,57.9
201810,41.9
201811,28.6
201812,20.4
201901,14.1
201902,16.3
201903,24.7
201904,38.8
201905,48.1
201906,59.5
201907,68.3
201908,64.5
201909,55.3
201910,46.1
201911,29.6
201912,22.8
202001,20.8
202002,20.1
202003,29.6
202004,37.7
202005,51.2
202006,62.5
202007,68.9
202008,65.6
202009,56.8
202010,44.7
202011,37.0
202012,27.2
202101,21.5
202102,18.6
202103,29.5
202104,43.3
202105,52.5
202106,64.9
202107,63.6
202108,68.3
202109,59.1
202110,50.2
202111,35.4
202112,24.4
202201,10.8
202202,19.3
202203,29.0
202204,40.7
202205,54.4
